# ID pix glon glat
0 4432272 60.957018 55.466922
1 49237327 286.966216 -73.034506
2 10693539 310.913086 35.113311
3 10262721 98.481445 36.307765
4 40904199 247.807617 -38.706084
5 15408221 139.086914 22.811171
6 34088357 243.500977 -20.762325
7 48242896 199.065558 -66.490202
8 34490582 279.426270 -21.742923
9 9356319 226.384277 38.921512
10 42555905 263.313895 -43.705136
11 45952205 262.550676 -55.682145
12 44770249 344.541367 -51.158938
13 3903637 207.025770 57.661229
14 1016617 164.789621 73.657830
15 37917005 14.633789 -30.453302
16 14917187 160.444336 24.030730
17 5936867 149.155543 49.824025
18 41706566 228.076172 -41.088696
19 35128080 214.475098 -23.317957
20 12162523 65.874023 31.104566
21 13915944 80.507812 26.547533
22 35057125 336.313477 -23.135294
23 45740575 143.019802 -54.844456
24 36576261 135.219727 -26.965282
25 15828707 257.497559 21.783087
26 12660011 328.139648 29.806362
27 15023943 171.892090 23.765531
28 34525969 34.497070 -21.843356
29 4462870 107.620482 55.347299
30 2975048 50.790984 61.849648
31 43367346 161.213826 -46.325869
32 38822349 200.258789 -32.863757
33 15424425 131.176758 22.770710
34 11147148 84.902344 33.846245
35 1141460 348.139073 72.687997
36 6285464 99.111675 48.605518
37 35926053 1.647949 -25.323864
38 1792793 101.642027 68.237397
39 44440717 95.113636 -49.994235
40 35815712 192.678223 -25.035333
41 45109014 195.510520 -52.416012
42 41684679 346.267090 -41.014500
43 39983051 87.670898 -36.076662
44 6815805 198.209642 46.817616
45 49335070 217.542493 -73.819353
46 39242744 314.670410 -34.003586
47 49891832 200.437100 -79.271115
48 3161690 294.021480 60.977468
49 39254999 133.220215 -34.048594
50 49712988 117.275180 -77.273323
51 49215776 197.650602 -72.872822
52 13656327 191.557617 27.216676
53 46238891 353.930818 -56.851754
54 8083806 341.485075 42.759438
55 49371058 168.116883 -74.119237
56 2689829 73.668103 63.260488
57 42505676 134.340243 -43.556039
58 16258041 44.692383 20.722438
59 43616685 56.471070 -47.161343
60 3663130 307.217295 58.706335
61 40128117 342.663574 -36.469945
62 9408407 355.407715 38.777821
63 41940428 65.236816 -41.810315
64 46769471 333.269663 -59.133105
65 11301672 35.529785 33.420627
66 181977 51.705298 83.097337
67 13592254 255.849609 27.384587
68 2781205 265.763359 62.814179
69 8736513 348.815918 40.767779
70 34866909 257.233887 -22.669610
71 44839958 158.735667 -51.425258
72 42863558 47.631988 -44.697017
73 3568966 124.389970 59.109407
74 13679904 147.678223 27.153774
75 39413419 255.014648 -34.477373
76 12701320 343.498535 29.698947
77 16263453 282.524414 20.722438
78 36207890 147.062988 -26.027474
79 11819975 132.495117 32.023932
80 8838599 154.995117 40.448404
81 16346943 351.518555 20.523158
82 15715835 337.302246 22.064557
83 6384379 61.217124 48.263464
84 47549102 351.953390 -62.790678
85 3960831 278.091684 57.423322
86 15627027 34.606934 22.265950
87 36156613 53.679199 -25.903004
88 4310774 224.540191 55.968916
89 7447740 83.961140 44.746516
90 42968983 295.255341 -45.018604
91 10138546 41.594238 36.655711
92 38376819 61.303711 -31.672626
93 37358666 318.273926 -28.971532
94 10977894 207.004395 34.319147
95 3725233 99.791209 58.421575
96 34382740 220.253906 -21.482125
97 5525689 245.063177 51.304230
98 580393 71.716141 77.663982
99 11641279 199.643555 32.509191
100 43794504 209.095686 -47.749651
101 46565463 87.080904 -58.255372
102 36387321 112.214355 -26.485002
103 1825314 299.167539 68.051281
104 36241220 171.760254 -26.110528
105 10329340 146.074219 36.122828
106 9234954 292.939453 39.282021
107 35484188 23.752441 -24.214651
108 46605464 197.571429 -58.421575
109 3244807 85.019623 60.576164
110 37276564 310.275879 -28.758563
111 13486691 296.872559 27.657988
112 41763140 194.260254 -41.262148
113 16269391 183.493652 20.702498
114 39838665 222.583008 -35.662375
115 48525508 72.047368 -68.167611
116 35536520 163.498535 -24.337411
117 15999413 199.204102 21.361914
118 40656378 157.236328 -37.992615
119 49174514 311.097240 -72.549349
120 10320994 139.328613 36.145921
121 6081657 107.004014 49.312839
122 39261329 51.372070 -34.071107
123 7945337 235.973407 43.182931
124 2763880 21.466837 62.884677
125 44240521 124.478510 -49.288475
126 1913703 247.684049 67.515868
127 5037695 211.616257 53.115028
128 42919722 148.418182 -44.870226
129 48057071 22.584428 -65.462621
130 15995136 11.250000 21.361914
131 35949815 325.876465 -25.365138
132 7710617 357.868059 43.928626
133 40932576 54.843750 -38.801749
134 8810887 17.204590 40.521970
135 6697633 171.811475 47.210413
136 8980314 262.727051 40.033034
137 5006932 264.453224 53.235404
138 15797180 312.033691 21.863451
139 40036372 270.878906 -36.215242
140 45108693 177.633045 -52.416012
141 7208890 13.578199 45.512626
142 38033359 87.846680 -30.756677
143 11460896 192.656250 32.997084
144 48306964 125.293241 -66.863388
145 41836633 183.911133 -41.485837
146 37839787 221.264648 -30.237183
147 14583774 268.527832 24.870763
148 2872232 317.065943 62.367450
149 3413452 330.264165 59.819760
150 50054390 61.572581 -81.494716
151 12470135 264.001465 30.301969
152 40956033 5.690918 -38.873583
153 16291190 61.435547 20.642694
154 4168511 70.273546 56.541802
155 14156400 207.443848 25.944480
156 5470581 133.721282 51.497853
157 9418260 68.400879 38.729988
158 8444002 94.306641 41.635393
159 6246748 290.551783 48.751995
160 43644099 324.349371 -47.234946
161 43033391 83.096859 -45.241023
162 15668716 66.621094 22.165217
163 38008472 74.201660 -30.691588
164 7442628 205.497667 44.771263
165 47562417 289.154630 -62.861179
166 40085867 285.952148 -36.354068
167 47527113 117.478885 -62.696660
168 37360306 30.322266 -28.992853
169 48840755 38.742758 -70.188215
170 11812800 177.209473 32.045933
171 46717836 103.694196 -58.919775
172 43330210 172.520043 -46.202800
173 42181784 307.421991 -42.534959
174 6432260 308.625209 48.116751
175 1754265 19.354322 68.469961
176 49060803 131.838143 -71.716913
177 8266362 188.167732 42.185385
178 11118124 249.433594 33.936119
179 41703425 90.043945 -41.088696
180 47586182 310.738055 -62.978657
181 7758842 44.885787 43.754817
182 48065109 341.535211 -65.485997
183 38604119 330.095215 -32.266237
184 15283326 50.559082 23.115013
185 234996 100.889213 82.158843
186 45066024 326.090573 -52.247067
187 35756780 122.871094 -24.891323
188 49160941 149.823529 -72.456903
189 36982307 339.060059 -27.995424
190 49777205 353.425047 -77.939655
191 871590 233.250000 74.879996
192 4599346 348.275066 54.820493
193 46305125 218.023256 -57.137643
194 1648581 145.655286 69.143893
195 40104807 38.298340 -36.423574
196 40932024 30.585937 -38.801749
197 14560045 305.727539 24.932451
198 3438238 234.679634 59.701451
199 48308148 231.217694 -66.863388
200 45615078 298.505859 -54.340912
201 14629682 125.969238 24.747480
202 41427541 206.235352 -40.252618
203 1681279 131.074155 68.934821
204 14747032 242.951660 24.460292
205 13970858 333.720703 26.422506
206 11514096 10.568848 32.841555
207 35379398 98.701172 -23.949073
208 38911956 178.088379 -33.108344
209 36073120 344.531250 -25.675150
210 46509120 5.502894 -58.017821
211 36672312 36.210938 -27.216676
212 171021 332.106164 83.326165
213 44147781 39.803754 -48.971578
214 12427070 171.474609 30.410040
215 47083166 15.435636 -60.576164
216 12113557 74.047852 31.235353
217 2425591 277.234332 64.643799
218 42133525 319.000000 -42.385199
219 47644997 173.127696 -63.283967
220 47134319 42.116297 -60.812270
221 16123052 232.580566 21.061818
222 11172676 126.760254 33.778902
223 43879050 111.572940 -48.043367
224 34636892 229.064941 -22.104812
225 37603810 291.203613 -29.613098
226 42110004 354.164201 -42.310287
227 6377042 51.525756 48.287910
228 10963182 280.480957 34.364324
229 7760632 126.662437 43.754817
230 7691042 180.022947 43.978266
231 5663247 87.459893 50.795423
232 37288833 129.440918 -28.801122
233 334837 240.623472 80.646963
234 33963891 173.825684 -20.463425
235 8600086 113.488770 41.162976
236 34889855 185.581055 -22.730261
237 4481787 166.142285 55.275507
238 48072743 267.502352 -65.532746
239 10010393 169.870605 37.028596
240 4814974 38.882088 53.956782
241 49285560 101.639004 -73.427027
242 7879560 139.670025 43.381987
243 36787982 79.365234 -27.510688
244 9016425 49.614258 39.911348
245 7391049 314.929761 44.944425
246 13947803 40.561523 26.464166
247 16160961 98.481445 20.961920
248 14340095 359.978027 25.489047
249 14697337 219.089355 24.583292
250 44084837 66.290323 -48.751995
251 9374395 300.739746 38.873583
252 35700720 179.318848 -24.747480
253 41286311 119.860840 -39.838440
254 3884150 30.118364 57.732573
255 12575693 222.758789 30.021539
256 36988478 250.224609 -28.016549
257 35146873 320.339355 -23.358583
258 15912194 326.359863 21.582376
259 49435270 11.098655 -74.672585
260 43938843 234.538591 -48.239017
261 39515119 44.274902 -34.772020
262 44888392 275.154545 -51.594621
263 48677335 6.683168 -69.120666
264 44293776 356.918872 -49.458978
265 6353406 299.116162 48.385671
266 46294189 244.824068 -57.090010
267 15743434 110.148926 21.984080
268 37818374 0.263672 -30.194017
269 6405337 36.075419 48.190116
270 3302049 151.949416 60.316299
271 7998252 101.362500 43.008634
272 13555878 97.294922 27.468638
273 42094299 17.365697 -42.285311
274 709298 8.833893 76.353530
275 43420311 200.599785 -46.498076
276 44450096 227.151603 -50.018544
277 42143438 39.794859 -42.435129
278 40316704 350.156250 -37.005237
279 36629169 300.278320 -27.090909
280 10733485 266.374512 34.999390
281 45057975 239.824507 -52.222925
282 35252787 294.741211 -23.622956
283 46547022 319.087936 -58.160369
284 13258545 350.925293 28.249195
285 48087620 89.447592 -65.626232
286 35686239 262.946777 -24.706412
287 45054609 53.285099 -52.222925
288 15651219 17.709961 22.205502
289 47570133 159.740426 -62.908174
290 38716147 213.200684 -32.575565
291 47161547 184.396346 -60.930275
292 2131810 333.706395 66.256832
293 4980492 198.507605 53.331675
294 1110351 216.422819 72.919021
295 38495471 235.502930 -31.979945
296 12048412 91.230469 31.410017
297 39903404 187.558594 -35.846235
298 44187209 261.092413 -49.093500
299 11147793 113.247070 33.846245
300 11588791 53.041992 32.641988
301 47043145 77.890016 -60.387187
302 41552097 279.909668 -40.620185
303 35393877 14.985352 -23.989895
304 559516 151.843100 77.893715
305 10107555 119.685059 36.748762
306 3650293 172.772021 58.753776
307 11429160 238.007812 33.086081
